"order","count","on3","glob.proportion","on3.proportion","p.value","signif","signif.bonferoni","signif.holm","signif.sidak","signif.holm.sidak"
"Carnivora",340,13,0.0714736178263611,0.684210526315789,2.28349879103502e-11,TRUE,TRUE,TRUE,TRUE,TRUE
"Artiodactyla",269,3,0.0565482446920328,0.157894736842105,0.0890348600340216,FALSE,FALSE,FALSE,FALSE,FALSE
"Chiroptera",957,3,0.201177212528905,0.157894736842105,0.766941009299585,FALSE,FALSE,FALSE,FALSE,FALSE
"Soricomorpha",359,0,0.0754677317637166,0,1,FALSE,FALSE,FALSE,FALSE,FALSE
"Rodentia",1924,0,0.404456590287997,0,1,FALSE,FALSE,FALSE,FALSE,FALSE
"Dasyuromorphia",60,0,0.0126129913811226,0,1,FALSE,FALSE,FALSE,FALSE,FALSE
"Diprotodontia",127,0,0.0266974984233761,0,1,FALSE,FALSE,FALSE,FALSE,FALSE
"Didelphimorphia",92,0,0.0193399201177213,0,1,FALSE,FALSE,FALSE,FALSE,FALSE
"Paucituberculata",6,0,0.00126129913811226,0,1,FALSE,FALSE,FALSE,FALSE,FALSE
"Afrosoricida",24,0,0.00504519655244902,0,1,FALSE,FALSE,FALSE,FALSE,FALSE
"Microbiotheria",1,0,0.000210216523018709,0,1,FALSE,FALSE,FALSE,FALSE,FALSE
"Macroscelidea",15,0,0.00315324784528064,0,1,FALSE,FALSE,FALSE,FALSE,FALSE
"Notoryctemorphia",2,0,0.000420433046037419,0,1,FALSE,FALSE,FALSE,FALSE,FALSE
"Scandentia",7,0,0.00147151566113096,0,1,FALSE,FALSE,FALSE,FALSE,FALSE
"Cingulata",43,0,0.0090393104898045,0,1,FALSE,FALSE,FALSE,FALSE,FALSE
"Primates",285,0,0.0599117090603321,0,1,FALSE,FALSE,FALSE,FALSE,FALSE
"Erinaceomorpha",21,0,0.00441454698339289,0,1,FALSE,FALSE,FALSE,FALSE,FALSE
"Lagomorpha",91,0,0.0191297035947025,0,1,FALSE,FALSE,FALSE,FALSE,FALSE
"Peramelemorphia",12,0,0.00252259827622451,0,1,FALSE,FALSE,FALSE,FALSE,FALSE
"Pilosa",32,0,0.0067269287365987,0,1,FALSE,FALSE,FALSE,FALSE,FALSE
"Dermoptera",1,0,0.000210216523018709,0,1,FALSE,FALSE,FALSE,FALSE,FALSE
"Monotremata",5,0,0.00105108261509355,0,1,FALSE,FALSE,FALSE,FALSE,FALSE
"Pholidota",7,0,0.00147151566113096,0,1,FALSE,FALSE,FALSE,FALSE,FALSE
"Hyracoidea",5,0,0.00105108261509355,0,1,FALSE,FALSE,FALSE,FALSE,FALSE
"Tubulidentata",1,0,0.000210216523018709,0,1,FALSE,FALSE,FALSE,FALSE,FALSE
"Perissodactyla",43,0,0.0090393104898045,0,1,FALSE,FALSE,FALSE,FALSE,FALSE
"Sirenia",4,0,0.000840866092074837,0,1,FALSE,FALSE,FALSE,FALSE,FALSE
"Litopterna",2,0,0.000420433046037419,0,1,FALSE,FALSE,FALSE,FALSE,FALSE
"Notoungulata",5,0,0.00105108261509355,0,1,FALSE,FALSE,FALSE,FALSE,FALSE
"Proboscidea",17,0,0.00357368089131806,0,1,FALSE,FALSE,FALSE,FALSE,FALSE
